week,player,game,spread,pick,confidence
4,ADon,SEA @ ARI,-0.5,SEA,1
4,ADon,MIN @ PIT,2.5,MIN,2
4,ADon,NO @ BUF,-16.5,NO,1
4,ADon,TEN @ HOU,-7.5,TEN,1
4,ADon,CLE @ DET,-9.5,DET,1
4,ADon,WAS @ ATL,2.5,ATL,1
4,ADon,PHI @ TB,3.5,PHI,1
4,ADon,CAR @ NE,-5.5,NE,1
4,ADon,LAC @ NYG,5.5,LAC,1
4,ADon,JAX @ SF,-3.5,SF,1
4,ADon,IND @ LAR,-3.5,LAR,1
4,ADon,CHI @ LV,-0.5,CHI,1
4,ADon,BAL @ KC,2.5,BAL,1
4,ADon,GB @ DAL,6.5,GB,1
4,ADon,NYJ @ MIA,-2.5,NYJ,1
4,ADon,CIN @ DEN,-7.5,DEN,1
4,b_hop,SEA @ ARI,-0.5,SEA,1
4,b_hop,MIN @ PIT,2.5,MIN,1
4,b_hop,NO @ BUF,-16.5,NO,1
4,b_hop,TEN @ HOU,-7.5,TEN,1
4,b_hop,CLE @ DET,-9.5,DET,1
4,b_hop,WAS @ ATL,2.5,ATL,1
4,b_hop,PHI @ TB,3.5,PHI,1
4,b_hop,CAR @ NE,-5.5,NE,1
4,b_hop,LAC @ NYG,5.5,LAC,2
4,b_hop,JAX @ SF,-3.5,SF,1
4,b_hop,IND @ LAR,-3.5,LAR,1
4,b_hop,CHI @ LV,-0.5,CHI,1
4,b_hop,BAL @ KC,2.5,BAL,1
4,b_hop,GB @ DAL,6.5,GB,1
4,b_hop,NYJ @ MIA,-2.5,MIA,1
4,b_hop,CIN @ DEN,-7.5,DEN,1
4,derelicious,SEA @ ARI,-0.5,SEA,1
4,derelicious,MIN @ PIT,2.5,PIT,1
4,derelicious,NO @ BUF,-16.5,BUF,1
4,derelicious,TEN @ HOU,-7.5,TEN,1
4,derelicious,CLE @ DET,-9.5,CLE,1
4,derelicious,WAS @ ATL,2.5,WAS,1
4,derelicious,PHI @ TB,3.5,TB,1
4,derelicious,CAR @ NE,-5.5,NE,1
4,derelicious,LAC @ NYG,5.5,LAC,1
4,derelicious,JAX @ SF,-3.5,JAX,1
4,derelicious,IND @ LAR,-3.5,IND,2
4,derelicious,CHI @ LV,-0.5,CHI,1
4,derelicious,BAL @ KC,2.5,BAL,1
4,derelicious,GB @ DAL,6.5,DAL,1
4,derelicious,NYJ @ MIA,-2.5,MIA,1
4,derelicious,CIN @ DEN,-7.5,CIN,1
4,Exciting Whites,SEA @ ARI,-0.5,ARI,1
4,Exciting Whites,MIN @ PIT,2.5,PIT,1
4,Exciting Whites,NO @ BUF,-16.5,BUF,1
4,Exciting Whites,TEN @ HOU,-7.5,HOU,1
4,Exciting Whites,CLE @ DET,-9.5,DET,1
4,Exciting Whites,WAS @ ATL,2.5,ATL,1
4,Exciting Whites,PHI @ TB,3.5,TB,1
4,Exciting Whites,CAR @ NE,-5.5,CAR,1
4,Exciting Whites,LAC @ NYG,5.5,LAC,2
4,Exciting Whites,JAX @ SF,-3.5,SF,1
4,Exciting Whites,IND @ LAR,-3.5,LAR,1
4,Exciting Whites,CHI @ LV,-0.5,CHI,1
4,Exciting Whites,BAL @ KC,2.5,BAL,1
4,Exciting Whites,GB @ DAL,6.5,DAL,1
4,Exciting Whites,NYJ @ MIA,-2.5,NYJ,1
4,Exciting Whites,CIN @ DEN,-7.5,DEN,1
4,Kevin,SEA @ ARI,-0.5,SEA,1
4,Kevin,MIN @ PIT,2.5,PIT,2
4,Kevin,NO @ BUF,-16.5,NO,1
4,Kevin,TEN @ HOU,-7.5,TEN,1
4,Kevin,CLE @ DET,-9.5,DET,1
4,Kevin,WAS @ ATL,2.5,ATL,1
4,Kevin,PHI @ TB,3.5,PHI,1
4,Kevin,CAR @ NE,-5.5,NE,1
4,Kevin,LAC @ NYG,5.5,LAC,1
4,Kevin,JAX @ SF,-3.5,SF,1
4,Kevin,IND @ LAR,-3.5,LAR,1
4,Kevin,CHI @ LV,-0.5,CHI,1
4,Kevin,BAL @ KC,2.5,BAL,1
4,Kevin,GB @ DAL,6.5,GB,1
4,Kevin,NYJ @ MIA,-2.5,NYJ,1
4,Kevin,CIN @ DEN,-7.5,DEN,1
4,Maye Magic,SEA @ ARI,-0.5,SEA,1
4,Maye Magic,MIN @ PIT,2.5,PIT,1
4,Maye Magic,NO @ BUF,-16.5,BUF,1
4,Maye Magic,TEN @ HOU,-7.5,TEN,1
4,Maye Magic,CLE @ DET,-9.5,CLE,1
4,Maye Magic,WAS @ ATL,2.5,WAS,1
4,Maye Magic,PHI @ TB,3.5,TB,1
4,Maye Magic,CAR @ NE,-5.5,NE,1
4,Maye Magic,LAC @ NYG,5.5,LAC,1
4,Maye Magic,JAX @ SF,-3.5,SF,1
4,Maye Magic,IND @ LAR,-3.5,LAR,1
4,Maye Magic,CHI @ LV,-0.5,CHI,2
4,Maye Magic,BAL @ KC,2.5,BAL,1
4,Maye Magic,GB @ DAL,6.5,GB,1
4,Maye Magic,NYJ @ MIA,-2.5,MIA,1
4,Maye Magic,CIN @ DEN,-7.5,CIN,1
4,MC$,SEA @ ARI,-0.5,SEA,1
4,MC$,MIN @ PIT,2.5,MIN,1
4,MC$,NO @ BUF,-16.5,NO,2
4,MC$,TEN @ HOU,-7.5,TEN,1
4,MC$,CLE @ DET,-9.5,DET,1
4,MC$,WAS @ ATL,2.5,WAS,1
4,MC$,PHI @ TB,3.5,TB,1
4,MC$,CAR @ NE,-5.5,NE,1
4,MC$,LAC @ NYG,5.5,LAC,1
