schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,game,week,platform_spread,ats_winner,ADon,Exciting Whites,Kevin,MC$,Maye Magic,P-Otys,Ripw1124,Vegas,Willheser,Yianni,b_hop,derelicious,mrmcwinnerson
9/7/2025,2025,1,False,NO,13.0,20.0,ARI,ARI,-6.5,43.5,Caesars Superdome,False,72.0,0.0,,indoor,ARI @ NO,1,6.5,ARI,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
9/7/2025,2025,1,False,BUF,41.0,40.0,BAL,BAL,-1.5,50.5,Highmark Stadium,False,58.0,8.0,61.0,,BAL @ BUF,1,-0.5,BUF,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
9/7/2025,2025,1,False,JAX,26.0,10.0,CAR,JAX,-3.5,46.5,TIAA Bank Field,False,85.0,3.0,71.0,,CAR @ JAX,1,-3.5,JAX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
9/7/2025,2025,1,False,CLE,16.0,17.0,CIN,CIN,-5.0,48,Huntington Bank Field,False,63.0,10.0,49.0,,CIN @ CLE,1,5.5,CLE,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9/4/2025,2025,1,False,PHI,24.0,20.0,DAL,PHI,-8.5,47.5,Lincoln Financial Field,False,75.0,11.0,66.0,,DAL @ PHI,1,-7.5,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9/7/2025,2025,1,False,GB,27.0,13.0,DET,GB,-1.0,47,Lambeau Field,False,60.0,5.0,76.0,,DET @ GB,1,-2.5,GB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9/7/2025,2025,1,False,LAR,14.0,9.0,HOU,LAR,-3.0,43.5,SoFi Stadium,False,72.0,0.0,,indoor,HOU @ LAR,1,-2.5,LAR,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
9/5/2025,2025,1,False,LAC,27.0,21.0,KC,KC,-3.0,46.5,Corinthians Arena,True,62.0,7.0,80.0,,KC @ LAC,1,3.5,LAC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
9/7/2025,2025,1,False,NE,13.0,20.0,LV,NE,-2.5,44,Gillette Stadium,False,62.0,4.0,86.0,rain,LV @ NE,1,-2.5,LV,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
9/7/2025,2025,1,False,IND,33.0,8.0,MIA,PICK,0.0,46.5,Lucas Oil Stadium,False,72.0,0.0,,indoor,MIA @ IND,1,-0.5,IND,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
